district,year,flooded,annual_total_mm,annual_max_daily,monsoon_total_mm,monsoon_avg_daily,monsoon_max_daily,monsoon_rainy_days,premonsoon_total_mm,province,lat,lon,elevation_m,terrain_type,river_proximity,flood_risk_geo,terrain_code,geo_risk_code,province_code,flood_intensity_score,flood_intensity_category,flood_intensity_code,risk_score
Lahore,2010,0,549.37,54.72,493.72,4.0469,54.72,29,13.78,Punjab,31.5204,74.3587,217,plains,1,medium,1,2,1.0,121.6871,high,4,0.09429665
Multan,2010,1,146.91,13.05,112.78,0.9244,13.05,9,11.07,Punjab,30.1575,71.5249,122,plains,1,high,1,3,1.0,58.0322,moderate,3,0.97900075
Faisalabad,2010,0,419.9,48.88,370.98,3.0408,48.88,22,12.3,Punjab,31.4504,73.135,186,plains,0,medium,1,2,1.0,51.6787,moderate,3,0.0034545443
Rawalpindi,2010,0,937.93,86.32,595.83,4.8839,86.32,33,78.44,Punjab,33.5651,73.0169,508,hills,0,low,3,1,1.0,25.692,low,2,0.0043985653
Gujranwala,2010,0,761.73,81.87,666.42,5.4625,81.87,32,30.02,Punjab,32.1877,74.1945,228,plains,1,medium,1,2,1.0,161.6605,high,4,0.17614056
Sialkot,2010,0,984.17,100.09,811.73,6.6535,100.09,35,61.62,Punjab,32.4945,74.5229,256,plains,1,medium,1,2,1.0,184.5694,high,4,0.10323496
Bahawalpur,2010,1,144.33,15.47,115.74,0.9487,15.47,7,13.81,Punjab,29.3956,71.6836,117,plains,1,high,1,3,1.0,61.2462,moderate,3,0.9660791
Rahim Yar Khan,2010,1,157.7,27.5,145.63,1.1937,27.5,8,5.26,Punjab,28.4212,70.2989,82,plains,1,high,1,3,1.0,101.6711,high,4,0.9919218
DG Khan,2010,1,142.27,13.75,114.34,0.9372,13.75,9,7.38,Punjab,30.0368,70.634,138,plains,1,high,1,3,1.0,55.7789,moderate,3,0.978646
Muzaffargarh,2010,1,146.91,13.05,112.78,0.9244,13.05,9,11.07,Punjab,30.0736,71.193,118,plains,1,high,1,3,1.0,58.9994,moderate,3,0.9870797
Gujrat,2010,0,984.17,100.09,811.73,6.6535,100.09,35,61.62,Punjab,32.5742,74.0796,246,plains,1,medium,1,2,1.0,188.2685,high,4,0.10323496
Sheikhupura,2010,0,453.85,45.68,402.4,3.2984,45.68,24,14.19,Punjab,31.7167,73.985,213,plains,1,medium,1,2,1.0,100.8426,high,4,0.20664361
