district,province,year,flooded,risk_score
Lahore,Punjab,2010,0,0.11239663
Multan,Punjab,2010,1,0.8754942
Faisalabad,Punjab,2010,0,0.0044613136
Rawalpindi,Punjab,2010,0,0.0033459712
Gujranwala,Punjab,2010,0,0.12959372
Sialkot,Punjab,2010,0,0.077735305
Bahawalpur,Punjab,2010,1,0.8368366
Rahim Yar Khan,Punjab,2010,1,0.98734784
DG Khan,Punjab,2010,1,0.86613184
Muzaffargarh,Punjab,2010,1,0.96609795
Gujrat,Punjab,2010,0,0.077735305
Sheikhupura,Punjab,2010,0,0.16156496
Sargodha,Punjab,2010,0,0.0132212415
Jhang,Punjab,2010,1,0.82833344
Kasur,Punjab,2010,0,0.010316355
Okara,Punjab,2010,0,0.0038573237
Sahiwal,Punjab,2010,0,0.004823256
Pakpattan,Punjab,2010,0,0.009849773
Bahawalnagar,Punjab,2010,0,0.11822494
Vehari,Punjab,2010,1,0.37916484
Lodhran,Punjab,2010,1,0.83189857
Khanewal,Punjab,2010,1,0.39788765
Chiniot,Punjab,2010,0,0.006200719
Hafizabad,Punjab,2010,0,0.079925224
Narowal,Punjab,2010,0,0.05608277
Nankana Sahib,Punjab,2010,0,0.0055937883
Mandi Bahauddin,Punjab,2010,0,0.008347829
Attock,Punjab,2010,0,0.00917517
Chakwal,Punjab,2010,0,0.0026878663
Jhelum,Punjab,2010,0,0.0066829678
Khushab,Punjab,2010,0,0.008353329
Bhakkar,Punjab,2010,1,0.93626535
Layyah,Punjab,2010,1,0.94343853
Toba Tek Singh,Punjab,2010,0,0.0056644236
Dera Ghazi Khan,Punjab,2010,1,0.86613184
Karachi Central,Sindh,2010,0,0.23844919
Karachi East,Sindh,2010,0,0.071588755
Karachi West,Sindh,2010,0,0.23844919
Karachi South,Sindh,2010,0,0.09248351
Malir,Sindh,2010,0,0.2633367
Hyderabad,Sindh,2010,1,0.8994369
Sukkur,Sindh,2010,1,0.98470056
Larkana,Sindh,2010,1,0.96863157
Thatta,Sindh,2010,1,0.84242857
Dadu,Sindh,2010,1,0.985601
Jacobabad,Sindh,2010,1,0.9681493
Kashmore,Sindh,2010,1,0.9878647
Kamber,Sindh,2010,1,0.9658563
Shikarpur,Sindh,2010,1,0.8142894
Mirpur Khas,Sindh,2010,1,0.8827586
Sanghar,Sindh,2010,1,0.9680608
Nawabshah,Sindh,2010,1,0.9877216
Naushahro Feroze,Sindh,2010,1,0.89280355
Khairpur,Sindh,2010,1,0.97860557
Ghotki,Sindh,2010,1,0.98168874
Badin,Sindh,2010,0,0.43474016
Tharparkar,Sindh,2010,0,0.17359848
Umerkot,Sindh,2010,0,0.13851595
Matiari,Sindh,2010,1,0.9118707
Jamshoro,Sindh,2010,1,0.8911835
Sujawal,Sindh,2010,0,0.5015872
Tando Allahyar,Sindh,2010,0,0.6197221
Tando Muhammad Khan,Sindh,2010,0,0.4255745
Qambar Shahdadkot,Sindh,2010,1,0.94415706
Peshawar,KPK,2010,0,0.2671576
Swat,KPK,2010,1,0.98480135
Nowshera,KPK,2010,1,0.9314198
Charsadda,KPK,2010,1,0.8608089
Dir Upper,KPK,2010,1,0.98202527
Dir Lower,KPK,2010,1,0.97881943
Chitral,KPK,2010,1,0.94770664
Kohistan,KPK,2010,1,0.97389096
Tank,KPK,2010,0,0.619777
Dera Ismail Khan,KPK,2010,0,0.6033177
Mardan,KPK,2010,0,0.50675976
Abbottabad,KPK,2010,0,0.008758117
Haripur,KPK,2010,0,0.022701273
Mansehra,KPK,2010,1,0.97419864
Battagram,KPK,2010,1,0.9760467
Shangla,KPK,2010,1,0.9745588
Buner,KPK,2010,1,0.8086914
Malakand,KPK,2010,1,0.9625321
Hangu,KPK,2010,0,0.0037813655
Karak,KPK,2010,0,0.0042027268
Kohat,KPK,2010,0,0.014604824
Lakki Marwat,KPK,2010,0,0.513733
Bannu,KPK,2010,0,0.08023197
Kurram,KPK,2010,0,0.020847745
Orakzai,KPK,2010,0,0.0054050027
Khyber,KPK,2010,0,0.0054567405
Mohmand,KPK,2010,0,0.3754476
Bajaur,KPK,2010,0,0.38951635
South Waziristan,KPK,2010,0,0.011821791
North Waziristan,KPK,2010,0,0.009910019
Torghar,KPK,2010,1,0.9682524
Kolai Pallas,KPK,2010,1,0.9525955
Swabi,KPK,2010,0,0.38634187
Tor Ghar,KPK,2010,0,0.045418836
Khyber Tribal,KPK,2010,0,0.0051273545
Quetta,Balochistan,2010,0,0.010565184
Naseerabad,Balochistan,2010,1,0.98528415
Jaffarabad,Balochistan,2010,1,0.9805126
Lasbela,Balochistan,2010,0,0.71021914
Kalat,Balochistan,2010,0,0.076986246
Khuzdar,Balochistan,2010,0,0.08081479
Turbat,Balochistan,2010,0,0.17174083
Gwadar,Balochistan,2010,0,0.27648592
Panjgur,Balochistan,2010,0,0.08308138
Chagai,Balochistan,2010,0,0.0030203075
Nushki,Balochistan,2010,0,0.0021815358
Kharan,Balochistan,2010,0,0.0038792035
Washuk,Balochistan,2010,0,0.0027829688
Awaran,Balochistan,2010,0,0.15724273
Kech,Balochistan,2010,0,0.17933936
Dera Bugti,Balochistan,2010,1,0.93048346
Kohlu,Balochistan,2010,0,0.0041665034
Sibi,Balochistan,2010,1,0.6324089
Ziarat,Balochistan,2010,0,0.0022701253
Pishin,Balochistan,2010,0,0.015180101
Qilla Abdullah,Balochistan,2010,0,0.0021874895
Qilla Saifullah,Balochistan,2010,0,0.0041062264
Loralai,Balochistan,2010,0,0.029702364
Musakhel,Balochistan,2010,0,0.03601719
Barkhan,Balochistan,2010,0,0.026105152
Harnai,Balochistan,2010,0,0.021094376
Sherani,Balochistan,2010,0,0.0061451066
Zhob,Balochistan,2010,0,0.0045214877
Jhal Magsi,Balochistan,2010,1,0.9512205
Khairpur Tamewali,Balochistan,2010,0,0.0061622076
Mastung,Balochistan,2010,0,0.011640644
Surab,Balochistan,2010,0,0.0031532673
Lehri,Balochistan,2010,1,0.7826571
Gilgit,GB,2010,0,0.35944253
Skardu,GB,2010,0,0.041492064
Hunza,GB,2010,0,0.2699232
Nagar,GB,2010,0,0.040863365
Ghanche,GB,2010,0,0.03728454
Shigar,GB,2010,0,0.004876225
Kharmang,GB,2010,0,0.006336814
Roundu,GB,2010,1,0.7187553
Tangir,GB,2010,1,0.7971262
Darel,GB,2010,1,0.82503325
Diamer,GB,2010,1,0.9315122
Astore,GB,2010,0,0.48151523
Ghizer,GB,2010,0,0.13723192
Gupis Yasin,GB,2010,0,0.07455104
Muzaffarabad,AJK,2010,1,0.9398234
Mirpur,AJK,2010,0,0.16567561
Bagh,AJK,2010,0,0.49262235
Rawalakot,AJK,2010,0,0.004236803
Kotli,AJK,2010,0,0.09640065
Neelum,AJK,2010,1,0.91845113
Haveli,AJK,2010,0,0.004477181
Sudhnoti,AJK,2010,0,0.0033165908
Hattian Bala,AJK,2010,1,0.83531207
Jhelum Valley,AJK,2010,0,0.644623
Islamabad,ICT,2010,0,0.0032741835
Lahore,Punjab,2011,0,0.06799174
Multan,Punjab,2011,0,0.22105949
Faisalabad,Punjab,2011,0,0.0017225672
Rawalpindi,Punjab,2011,0,0.0010054398
Gujranwala,Punjab,2011,0,0.032304812
Sialkot,Punjab,2011,0,0.01562792
Bahawalpur,Punjab,2011,1,0.7694641
Rahim Yar Khan,Punjab,2011,1,0.98315895
DG Khan,Punjab,2011,0,0.25658557
Muzaffargarh,Punjab,2011,0,0.6361549
Gujrat,Punjab,2011,0,0.01645235
Sheikhupura,Punjab,2011,0,0.084251545
Sargodha,Punjab,2011,0,0.0034586394
Jhang,Punjab,2011,0,0.2336524
Kasur,Punjab,2011,0,0.005327415
Okara,Punjab,2011,0,0.002567652
Sahiwal,Punjab,2011,0,0.0017943522
Pakpattan,Punjab,2011,0,0.0024475243
Bahawalnagar,Punjab,2011,0,0.025446115
Vehari,Punjab,2011,0,0.08532284
Lodhran,Punjab,2011,1,0.74677515
Khanewal,Punjab,2011,0,0.08772704
Chiniot,Punjab,2011,0,0.0039577675
Hafizabad,Punjab,2011,0,0.016247977
Narowal,Punjab,2011,0,0.01668648
Nankana Sahib,Punjab,2011,0,0.0054207547
Mandi Bahauddin,Punjab,2011,0,0.001884468
Attock,Punjab,2011,0,0.007384491
Chakwal,Punjab,2011,0,0.00079475576
Jhelum,Punjab,2011,0,0.0022346335
Khushab,Punjab,2011,0,0.0023639288
Bhakkar,Punjab,2011,0,0.061405994
Layyah,Punjab,2011,0,0.2726777
Toba Tek Singh,Punjab,2011,0,0.0037442057
Dera Ghazi Khan,Punjab,2011,0,0.25658557
Karachi Central,Sindh,2011,1,0.73667705
Karachi East,Sindh,2011,0,0.18531917
Karachi West,Sindh,2011,1,0.73667705
Karachi South,Sindh,2011,0,0.20110436
Malir,Sindh,2011,1,0.88190836
Hyderabad,Sindh,2011,1,0.98342806
Sukkur,Sindh,2011,1,0.98805106
Larkana,Sindh,2011,1,0.9773269
Thatta,Sindh,2011,1,0.9802142
Dadu,Sindh,2011,1,0.9815579
Jacobabad,Sindh,2011,1,0.9571787
Kashmore,Sindh,2011,1,0.9882299
Kamber,Sindh,2011,1,0.9654044
Shikarpur,Sindh,2011,1,0.5020107
Mirpur Khas,Sindh,2011,1,0.98667854
Sanghar,Sindh,2011,1,0.9903358
Nawabshah,Sindh,2011,1,0.9946741
Naushahro Feroze,Sindh,2011,1,0.8995561
Khairpur,Sindh,2011,1,0.9852529
Ghotki,Sindh,2011,1,0.9232619
Badin,Sindh,2011,1,0.9198011
Tharparkar,Sindh,2011,0,0.43006134
Umerkot,Sindh,2011,0,0.3376719
Matiari,Sindh,2011,1,0.98764384
Jamshoro,Sindh,2011,1,0.98442626
Sujawal,Sindh,2011,1,0.94575185
Tando Allahyar,Sindh,2011,1,0.96370137
Tando Muhammad Khan,Sindh,2011,1,0.9217118
